Transcript ID,Ensemble Gene ID,Gene Symbol,FC Injured-Resident vs Uninjured-Resident: Uninjured-Resident,FC Injured-Resident vs Uninjured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Uninjured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Injured-Repopulated,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Resident,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Repopulated,Adj-p Injured-Resident vs Uninjured-Resident,Adj-p Injured-Repopulated vs Injured-Resident,Adj-p Injured-Repopulated vs Uninjured-Repopulated,Adj-p Uninjured-Repopulated vs Uninjured-Resident, 
ENSMUST00000072735.8,ENSMUSG00000057411.9,Fam173a,1,1.0081,1,0.7613,1,0.8174,1,0.9389,0.9999,0.0853,0.9999,0.9729,
ENSMUST00000072744.14,ENSMUSG00000021038.17,Vipas39,1,1.0128,1,1.1227,1,1.1678,1,0.9737,0.9999,0.7076,0.9999,0.9916,
ENSMUST00000072750.12,ENSMUSG00000000568.15,Hnrnpd,1,1.1260,1,0.6228,1,1.3616,1,0.5150,0.9999,0.1387,0.9999,0.2396,
ENSMUST00000072751.12,ENSMUSG00000078440.10,Dohh,1,0.9803,1,0.9042,1,1.0073,1,0.8800,0.9999,0.8085,0.9999,0.9156,
ENSMUST00000072753.12,ENSMUSG00000061887.14,Ssbp3,1,0.9654,1,0.9926,1,1.8006,1,0.5322,0.9999,0.9953,0.2461,0.0981,
ENSMUST00000072767.6,ENSMUSG00000059495.14,Arhgef12,1,0.9096,1,1.2244,1,0.5422,1,2.0540,0.9999,0.9999,0.9999,0.9999,
ENSMUST00000072769.6,ENSMUSG00000057359.7,Gm17494,1,0.7207,1,0.8541,1,0.8552,1,0.7198,0.9999,0.8232,0.9999,0.7782,
ENSMUST00000072835.6,ENSMUSG00000071855.5,Ccdc112,1,1.1290,1,0.7560,1,1.5925,1,0.5359,0.9999,0.6926,0.9999,0.5272,
ENSMUST00000072836.6,ENSMUSG00000057342.15,Sphk2,1,0.9417,1,0.6230,1,0.8959,1,0.6548,0.9999,0.4805,0.9999,0.8578,
ENSMUST00000072837.6,ENSMUSG00000056493.9,Foxk1,1,1.0318,1,0.7748,1,0.9319,1,0.8579,0.9999,0.5744,0.9999,0.9539,
ENSMUST00000072838.5,ENSMUSG00000022556.11,Hsf1,1,0.1731,1,4.8842,1,0.9558,1,0.8848,0.9999,0.1688,0.9999,0.9934,
ENSMUST00000072841.11,ENSMUSG00000060600.15,Eno3,1,1.3074,1,0.8056,1,364.9816,1,0.0029,0.9999,0.8645,8.57E-05,1.21E-05,
ENSMUST00000072847.11,ENSMUSG00000024317.15,Rnf138,1,0.8285,1,0.8990,1,0.4094,1,1.8192,0.9999,0.9832,0.9999,0.9575,
ENSMUST00000072857.12,ENSMUSG00000062110.14,Scfd2,1,1.2496,1,1.4653,1,1.5930,1,1.1495,0.9999,0.9999,0.9999,0.9919,
ENSMUST00000072866.11,ENSMUSG00000028437.14,Ubap1,1,0.9653,1,1.2045,1,0.9926,1,1.1713,0.9999,0.6636,0.9999,0.9250,
ENSMUST00000072875.14,ENSMUSG00000055436.18,Srsf11,1,1.1185,1,1.1639,1,0.8762,1,1.4857,0.9999,0.6099,0.9999,0.2125,
ENSMUST00000072889.11,ENSMUSG00000021338.17,Carmil1,1,1.0312,1,1.4795,1,0.3610,1,4.2262,0.9999,1.00E+00,0.6409,0.1170,
ENSMUST00000072896.12,ENSMUSG00000038525.16,Armc10,1,0.6898,1,1.3665,1,0.9967,1,0.9457,0.9999,0.3510,0.9999,0.9887,
ENSMUST00000072904.4,ENSMUSG00000063480.8,Snu13,1,0.7948,1,0.9873,1,0.9703,1,0.8086,0.9999,0.9958,0.9999,0.9727,
ENSMUST00000072916.4,ENSMUSG00000014243.5,Zswim7,1,0.7276,1,1.2621,1,0.9775,1,0.9394,0.9999,0.9999,0.9999,0.9929,
ENSMUST00000072948.10,ENSMUSG00000020777.16,Acox1,1,0.2322,1,3.4772,1,3.1858,1,0.2534,0.9999,0.9999,0.9999,0.8345,
ENSMUST00000072961.5,ENSMUSG00000041236.8,Vps41,1,0.8501,1,1.3361,1,0.8959,1,1.2678,0.9999,0.0343,0.9999,0.5329,
ENSMUST00000072965.4,ENSMUSG00000015149.14,Sirt2,1,1.1503,1,1.1258,1,0.7512,1,1.7241,0.9999,0.8317,0.9927,0.1533,
ENSMUST00000073025.11,ENSMUSG00000026150.14,Mff,1,1.1298,1,0.9438,1,0.9885,1,1.0787,0.9999,0.9475,0.9999,0.9804,
ENSMUST00000073054.4,ENSMUSG00000062526.4,Mppe1,1,1.1999,1,1.2715,1,0.8452,1,1.8052,0.9999,0.4088,0.9999,0.0718,
ENSMUST00000073067.10,ENSMUSG00000032806.13,Slc10a3,1,1.2976,1,0.7426,1,1.0470,1,0.9204,0.9999,0.7715,0.9999,0.9915,
ENSMUST00000073076.11,ENSMUSG00000028973.18,Abcb8,1,0.9678,1,0.8338,1,0.9493,1,0.8501,0.9999,0.8760,0.9999,0.9743,
ENSMUST00000073080.6,ENSMUSG00000058927.6,Gm10053,1,1.0604,1,0.9154,1,0.9428,1,1.0296,0.9999,0.8387,0.9999,0.9916,
ENSMUST00000073089.12,ENSMUSG00000054942.13,Miga1,1,0.8469,1,0.7609,1,0.8219,1,0.7840,0.9999,0.7572,0.9999,0.9478,
ENSMUST00000073094.9,ENSMUSG00000040990.17,Sh3kbp1,1,1.1128,1,0.9391,1,0.9758,1,1.0710,0.9999,0.9202,0.9999,0.9789,
ENSMUST00000073104.10,ENSMUSG00000061950.17,Ppp4r1,1,0.7034,1,1.1822,1,1.0403,1,0.7993,0.9999,0.8693,0.9999,0.9464,
ENSMUST00000073109.11,ENSMUSG00000047409.13,Ctdspl,1,1.6745,1,0.7642,1,0.9324,1,1.3725,0.9999,0.9999,0.9999,0.9717,
ENSMUST00000073116.12,ENSMUSG00000025225.15,Nfkb2,1,1.1282,1,1.4901,1,0.7753,1,2.1684,0.9999,0.0853,0.9999,0.0151,
ENSMUST00000073120.10,ENSMUSG00000062729.11,Ppox,1,1.0608,1,0.9909,1,1.1568,1,0.9086,0.9999,0.9946,0.9999,0.9719,
ENSMUST00000073124.8,ENSMUSG00000057691.8,Zfp746,1,1.0014,1,1.1482,1,0.8974,1,1.2812,0.9999,0.9434,0.9999,0.9642,
ENSMUST00000073128.6,ENSMUSG00000013646.17,Sh3bp5l,1,0.9877,1,0.8569,1,1.0219,1,0.8282,0.9999,0.7288,0.9999,0.8796,
ENSMUST00000073139.13,ENSMUSG00000036564.17,Ndrg4,1,1.3980,1,2.4327,1,2.5870,1,1.3146,0.9999,0.9999,0.9999,0.9928,
ENSMUST00000073150.5,ENSMUSG00000021846.9,Peli2,1,0.5574,1,1.2301,1,1.3763,1,0.4982,0.9111,0.7515,0.9999,0.2211,
ENSMUST00000073152.12,ENSMUSG00000027086.16,Fastkd1,1,1.4873,1,1.0075,1,1.2975,1,1.1548,0.9999,0.9987,0.9999,0.9898,
ENSMUST00000073157.14,ENSMUSG00000071281.12,Zfp65,1,0.6753,1,1.4333,1,1.7585,1,0.5504,0.9999,0.4915,0.8319,0.4963,
ENSMUST00000073192.13,ENSMUSG00000020311.17,Erlec1,1,1.0783,1,1.1872,1,0.9698,1,1.3200,0.9999,0.6367,0.9999,0.6846,
ENSMUST00000073201.5,ENSMUSG00000058748.9,Zfp958,1,0.7051,1,1.4445,1,2.2761,1,0.4475,0.9999,0.9999,0.9999,0.8676,
ENSMUST00000073211.12,ENSMUSG00000024049.15,Myom1,1,1.2263,1,0.9752,1,0.7334,1,1.6305,0.9999,0.9946,0.9999,0.9035,
ENSMUST00000073234.8,ENSMUSG00000059995.12,Atxn7l3,1,1.2801,1,0.6807,1,1.3072,1,0.6666,0.9999,0.8693,0.9999,0.9642,
ENSMUST00000073238.6,ENSMUSG00000060143.7,Gm10076,1,0.8736,1,1.6738,1,0.8009,1,1.8258,0.9999,0.1725,0.9999,0.4457,
ENSMUST00000073279.12,ENSMUSG00000037395.15,Rcor3,1,1.0290,1,0.7177,1,0.7497,1,0.9851,0.9999,0.8040,0.9999,0.9973,
ENSMUST00000073308.10,ENSMUSG00000009079.16,Ewsr1,1,0.8941,1,1.2823,1,0.9129,1,1.2559,0.9999,0.0859,0.9999,0.5493,
ENSMUST00000073312.6,ENSMUSG00000067928.6,Zfp760,1,0.9719,1,1.0133,1,1.5453,1,0.6373,0.9999,0.9947,0.9999,0.7531,
ENSMUST00000073316.12,ENSMUSG00000001517.14,Foxm1,1,1.4357,1,0.7001,1,0.9757,1,1.0302,0.9999,0.8583,0.9999,0.9964,
ENSMUST00000073339.6,ENSMUSG00000006373.10,Pgrmc1,1,0.9370,1,1.0897,1,1.0825,1,0.9433,0.9999,0.8077,0.9999,0.9739,
ENSMUST00000073350.12,ENSMUSG00000004552.16,Ctse,1,0.8578,1,2.5986,1,0.5883,1,3.7889,0.9999,0.0021,0.9132,0.0083,
ENSMUST00000073352.9,ENSMUSG00000062175.13,Tgif2,1,0.5016,1,0.6443,1,1.2353,1,0.2617,0.9999,0.9999,0.9999,0.7661,
ENSMUST00000073364.5,ENSMUSG00000025262.8,Fam120c,1,1.2922,1,0.7729,1,0.8923,1,1.1193,0.9999,0.8945,0.9999,0.9916,
ENSMUST00000073371.6,ENSMUSG00000065979.12,Cpped1,1,1.9187,1,1.0396,1,0.4495,1,4.4371,0.9999,0.9999,0.9999,0.6048,
ENSMUST00000073388.12,ENSMUSG00000017718.15,Afmid,1,1.1880,1,0.9607,1,1.2332,1,0.9255,0.9999,0.9857,0.9999,0.9916,
ENSMUST00000073392.10,ENSMUSG00000031174.17,Rpgr,1,0.5312,1,1.3821,1,0.7018,1,1.0462,0.9999,0.9999,0.9999,0.9972,
ENSMUST00000073428.6,ENSMUSG00000063354.7,Slc39a4,1,1.2773,1,1.0704,1,0.6215,1,2.1999,0.9999,0.9764,0.9999,0.6360,
ENSMUST00000073430.13,ENSMUSG00000010110.17,Stx5a,1,0.9645,1,1.0067,1,1.2753,1,0.7614,0.9999,0.9954,0.9999,0.7063,
ENSMUST00000073441.12,ENSMUSG00000042772.15,Smg7,1,1.2538,1,0.8315,1,1.0009,1,1.0417,0.9999,0.6830,0.9999,0.9916,
ENSMUST00000073456.8,ENSMUSG00000060739.8,Nsa2,1,0.8707,1,1.3548,1,1.3409,1,0.8797,0.9999,0.3992,0.9999,0.9628,
ENSMUST00000073466.12,ENSMUSG00000058240.14,Cryzl1,1,0.6959,1,1.4374,1,1.0952,1,0.9133,0.9999,0.1218,0.9999,0.9727,
ENSMUST00000073471.12,ENSMUSG00000060938.14,Rpl26,1,0.9480,1,1.2516,1,0.7624,1,1.5563,0.9999,0.2367,0.7440,0.0783,
ENSMUST00000073488.11,ENSMUSG00000060601.13,Nr1h2,1,0.9076,1,0.9195,1,1.1027,1,0.7568,0.9999,0.9508,0.9999,0.9083,
ENSMUST00000073521.11,ENSMUSG00000031767.13,Nudt7,1,0.9942,1,0.4570,1,0.5572,1,0.8154,0.9999,0.9999,0.9999,0.9828,
ENSMUST00000073534.9,ENSMUSG00000024220.14,Zfp523,1,1.3266,1,0.8066,1,1.6220,1,0.6597,0.9999,0.8796,0.9999,0.8911,
ENSMUST00000073551.5,ENSMUSG00000042063.11,Zfp386,1,1.0755,1,0.9068,1,1.8347,1,0.5316,0.9999,0.9189,0.5935,0.3252,
ENSMUST00000073570.11,ENSMUSG00000073423.10,Zfp414,1,1.4818,1,0.8177,1,0.9835,1,1.2320,0.9999,0.7181,0.9999,0.9114,
ENSMUST00000073575.11,ENSMUSG00000002105.15,Slc39a13,1,0.7617,1,1.1681,1,1.2707,1,0.7002,0.9999,0.6960,0.9999,0.4754,
ENSMUST00000073660.6,ENSMUSG00000061981.14,Flot2,1,0.3134,1,4.2749,1,2.0044,1,0.6684,0.9999,0.9999,0.9999,0.9893,
ENSMUST00000073691.4,ENSMUSG00000023022.14,Lima1,1,0.8845,1,0.7150,1,1.1905,1,0.5312,0.9999,0.6002,0.9999,0.5103,
ENSMUST00000073705.11,ENSMUSG00000037750.16,Fam222b,1,1.1079,1,0.8403,1,0.8658,1,1.0753,0.9999,0.7112,0.9999,0.9813,
ENSMUST00000073707.8,ENSMUSG00000017652.16,Cd40,1,1.5330,1,4.0726,1,0.7103,1,8.7901,0.9999,0.0175,0.9999,0.0204,
ENSMUST00000073724.6,ENSMUSG00000024193.8,Phf1,1,1.5973,1,0.6480,1,1.2067,1,0.8577,0.9999,0.1941,0.9999,0.9605,
ENSMUST00000073764.12,ENSMUSG00000048351.14,Coa7,1,0.9510,1,1.4376,1,1.1512,1,1.1876,0.9999,0.9999,0.9999,0.9719,
ENSMUST00000073782.3,ENSMUSG00000060336.6,Zfp937,1,0.9006,1,0.7740,1,0.5896,1,1.1824,0.9999,0.8165,0.9999,0.9760,
ENSMUST00000073787.6,ENSMUSG00000028743.7,Akr7a5,1,0.9177,1,0.9124,1,0.9075,1,0.9227,0.9999,0.9019,0.9999,0.9801,
ENSMUST00000073792.10,ENSMUSG00000034602.15,Mon2,1,1.1612,1,0.9329,1,1.0777,1,1.0052,0.9999,0.9730,0.9999,0.9988,
ENSMUST00000073837.12,ENSMUSG00000009739.17,Pou6f1,1,0.7935,1,1.0955,1,2.3667,1,0.3673,0.9999,0.9999,0.9999,0.7904,
ENSMUST00000073840.11,ENSMUSG00000045983.16,Eif4g1,1,1.2367,1,1.0601,1,0.7496,1,1.7490,0.9999,0.9434,0.9974,0.1455,
ENSMUST00000073843.12,ENSMUSG00000029217.16,Tec,1,0.9581,1,1.1446,1,0.9767,1,1.1228,0.9999,0.8526,0.9999,0.9721,
ENSMUST00000073868.8,ENSMUSG00000061315.14,Naca,1,0.9542,1,1.1073,1,0.9362,1,1.1286,0.9999,0.5806,0.9999,0.8040,
ENSMUST00000073879.11,ENSMUSG00000075415.13,Fnbp1,1,1.0213,1,0.9149,1,1.0235,1,0.9129,0.9999,0.8155,0.9999,0.9511,
ENSMUST00000073889.13,ENSMUSG00000039176.17,Polg,1,1.3441,1,0.9776,1,0.6980,1,1.8825,0.9999,0.9929,0.9999,0.6553,
ENSMUST00000073909.5,ENSMUSG00000041477.14,Dcp1b,1,0.8579,1,1.0077,1,1.4840,1,0.5826,0.9999,0.9971,0.9999,0.7648,
ENSMUST00000073924.9,ENSMUSG00000020491.15,2810021J22Rik,1,1.1850,1,1.0372,1,2.3179,1,0.5302,0.9999,0.9872,0.6513,0.6623,
ENSMUST00000073942.11,ENSMUSG00000038085.13,Cnbd2,1,2.1144,1,0.9697,1,1.4605,1,1.4039,0.9999,0.9899,0.9999,0.9101,
ENSMUST00000074002.11,ENSMUSG00000029577.13,Ube3b,1,0.9230,1,1.0379,1,0.6669,1,1.4366,0.9999,0.9751,0.8909,0.6965,
ENSMUST00000074038.6,ENSMUSG00000044573.16,Acp1,1,0.9707,1,1.0214,1,1.1828,1,0.8382,0.9999,0.9872,0.9999,0.9269,
ENSMUST00000074043.6,ENSMUSG00000037465.10,Klf10,1,1.0627,1,0.8249,1,1.1143,1,0.7867,0.9999,0.6593,0.9999,0.8328,
ENSMUST00000074053.5,ENSMUSG00000061104.5,Sap18b,1,0.8581,1,1.0689,1,1.0073,1,0.9105,0.9999,0.8481,0.9999,0.9213,
ENSMUST00000074058.10,ENSMUSG00000024513.16,Mbd2,1,1.1351,1,1.1256,1,0.8253,1,1.5481,0.9999,0.7218,0.9999,0.1039,
ENSMUST00000074082.12,ENSMUSG00000032786.16,Alas1,1,1.2919,1,0.8583,1,0.8412,1,1.3182,0.9999,0.8105,0.9999,0.8248,
ENSMUST00000074085.11,ENSMUSG00000008682.13,Rpl10,1,0.9443,1,1.1299,1,1.1043,1,0.9662,0.9999,0.9093,0.9999,0.9937,
ENSMUST00000074127.13,ENSMUSG00000010025.19,Aldh3a2,1,1.0313,1,0.9550,1,0.8911,1,1.1052,0.9999,0.9425,0.9999,0.9511,
ENSMUST00000074144.10,ENSMUSG00000026554.15,Dcaf8,1,1.2108,1,1.0368,1,0.9046,1,1.3877,0.9999,0.9437,0.9999,0.1983,
ENSMUST00000074208.5,ENSMUSG00000070283.4,Ndufaf3,1,0.9419,1,1.0594,1,0.9514,1,1.0489,0.9999,0.9136,0.9999,0.9841,
ENSMUST00000074216.13,ENSMUSG00000008305.18,Tle1,1,1.3347,1,0.4374,1,0.5355,1,1.0902,0.9999,0.9999,0.9999,0.9916,
ENSMUST00000074230.11,ENSMUSG00000044626.13,Liph,1,1.0885,1,0.6637,1,0.9361,1,0.7718,0.9999,0.2381,0.9999,0.8746,
ENSMUST00000074231.5,ENSMUSG00000073002.9,Vamp5,1,1.2354,1,0.7708,1,1.5942,1,0.5973,0.9999,0.9999,0.9999,0.8850,
ENSMUST00000074240.3,ENSMUSG00000036186.5,Dipk1b,1,0.2496,1,0.9550,1,0.7011,1,0.3400,0.9999,0.9999,0.9999,0.8039,
ENSMUST00000074241.8,ENSMUSG00000054474.15,Thnsl2,1,0.7432,1,0.5593,1,1.0515,1,0.3954,0.9999,0.9999,0.9999,0.6903,
ENSMUST00000074245.4,ENSMUSG00000062611.4,Rps3a2,1,0.9163,1,1.4778,1,0.6314,1,2.1446,0.9999,0.9999,0.9999,0.4266,
ENSMUST00000074246.6,ENSMUSG00000057367.12,Birc2,1,0.2796,1,2.4033,1,0.7536,1,0.8917,0.9999,0.9999,0.9999,0.9962,
ENSMUST00000074248.10,ENSMUSG00000059013.12,Sh2d3c,1,1.1555,1,0.9355,1,1.1321,1,0.9548,0.9999,0.8981,0.9999,0.9856,
ENSMUST00000074249.6,ENSMUSG00000078580.3,E430018J23Rik,1,0.9513,1,0.9104,1,0.9510,1,0.9107,0.9999,0.9653,0.9999,0.9916,
ENSMUST00000074259.14,ENSMUSG00000059791.14,Nrm,1,0.8970,1,0.7742,1,1.1094,1,0.6260,0.9999,0.0211,0.9999,0.0039,
ENSMUST00000074262.8,ENSMUSG00000059588.13,Calcrl,1,1.0409,1,0.7366,1,0.9090,1,0.8436,0.9999,0.6837,0.9999,0.9703,
ENSMUST00000074267.4,ENSMUSG00000061477.4,Rps7,1,1.0456,1,1.3317,1,0.7812,1,1.7825,0.9999,0.1149,0.9159,0.0169,
ENSMUST00000074352.10,ENSMUSG00000044252.18,Osbpl1a,1,1.0331,1,1.1640,1,0.7112,1,1.6909,0.9999,0.8731,0.9999,0.5884,
ENSMUST00000074357.7,ENSMUSG00000041926.15,Rnpep,1,1.9493,1,0.9052,1,0.4412,1,3.9992,0.9999,0.9476,0.5397,0.0166,
ENSMUST00000074366.6,ENSMUSG00000010461.15,Eya4,1,1.2385,1,0.9760,1,0.4141,1,2.9194,0.9999,0.9999,0.9229,0.4784,
ENSMUST00000074370.9,ENSMUSG00000024182.16,Axin1,1,0.9642,1,0.9351,1,0.7224,1,1.2481,0.9999,0.9049,0.7142,0.7616,
ENSMUST00000074425.12,ENSMUSG00000034210.14,Efcab14,1,1.0476,1,0.9799,1,1.0267,1,0.9998,0.9999,0.9632,0.9999,0.9996,
ENSMUST00000074455.8,ENSMUSG00000066838.7,Zfp772,1,0.9807,1,0.8006,1,1.0743,1,0.7308,0.9999,0.6187,0.9999,0.7555,
ENSMUST00000074515.10,ENSMUSG00000020696.18,Rffl,1,0.9665,1,1.6249,1,0.4640,1,3.3849,0.9999,0.8450,0.9999,0.7275,
ENSMUST00000074519.12,ENSMUSG00000038393.14,Txnip,1,0.8955,1,0.8820,1,1.3181,1,0.5992,0.9999,0.5741,0.5056,0.0044,
ENSMUST00000074552.11,ENSMUSG00000008690.15,Ncaph2,1,1.0408,1,1.0753,1,0.9270,1,1.2073,0.9999,0.8984,0.9999,0.8444,
ENSMUST00000074556.6,ENSMUSG00000060032.6,H2aj,1,0.9469,1,1.2686,1,0.9486,1,1.2662,0.9999,0.3800,0.9999,0.7672,
ENSMUST00000074562.10,ENSMUSG00000043051.17,Disc1,1,0.5152,1,1.5323,1,1.6898,1,0.4672,0.9999,0.9999,0.9999,0.9277,
ENSMUST00000074570.9,ENSMUSG00000061577.12,Adgrg5,1,9.0098,1,29.4794,1,0.5869,1,452.5577,0.9999,0.9999,0.9999,1.57E-05,
ENSMUST00000074574.12,ENSMUSG00000043592.15,Unc5cl,1,1.4407,1,1.6440,1,1.5012,1,1.5778,0.9999,0.9999,0.9999,0.9187,
ENSMUST00000074575.10,ENSMUSG00000063511.11,Snrnp70,1,0.9593,1,1.0162,1,1.0893,1,0.8949,0.9999,0.9826,0.9999,0.9285,
ENSMUST00000074582.6,ENSMUSG00000028041.17,Adam15,1,0.4103,1,1.4032,1,1.2539,1,0.4592,0.9999,0.9999,0.9999,0.9277,
ENSMUST00000074606.10,ENSMUSG00000060703.12,Cd302,1,1.0003,1,0.8494,1,1.2701,1,0.6690,0.9999,0.5561,0.9434,0.1932,
ENSMUST00000074616.6,ENSMUSG00000032621.8,Srek1,1,1.0997,1,1.2469,1,1.0733,1,1.2776,0.9999,0.4530,0.9999,0.7564,
ENSMUST00000074618.9,ENSMUSG00000027544.16,Nfatc2,1,0.8296,1,0.7124,1,0.4389,1,1.3465,0.9999,0.7897,0.8905,0.9557,
ENSMUST00000074628.12,ENSMUSG00000034341.17,Wbp2,1,0.8913,1,0.9178,1,1.0306,1,0.7938,0.9999,0.3213,0.9999,0.0149,
ENSMUST00000074653.5,ENSMUSG00000047466.10,8030462N17Rik,1,0.5911,1,1.8073,1,1.9711,1,0.5419,0.9999,0.9999,0.9999,0.7866,
ENSMUST00000074669.9,ENSMUSG00000020358.17,Hnrnpab,1,0.8989,1,0.9680,1,1.0179,1,0.8548,0.9999,0.9166,0.9999,0.5597,
ENSMUST00000074686.9,ENSMUSG00000044465.19,Fam160a2,1,1.1098,1,1.3197,1,1.3567,1,1.0795,0.9999,0.8945,0.9999,0.9937,
ENSMUST00000074729.5,ENSMUSG00000034731.11,Dgkh,1,1.1420,1,0.5779,1,0.9762,1,0.6761,0.9999,0.9999,0.9999,0.9634,
ENSMUST00000074733.10,ENSMUSG00000058013.11,Septin11,1,1.1243,1,1.0124,1,1.4677,1,0.7755,0.9999,0.9929,0.8353,0.8171,
ENSMUST00000074792.6,ENSMUSG00000059183.12,Mtfmt,1,1.0986,1,1.0978,1,0.9310,1,1.2954,0.9999,0.9215,0.9999,0.8815,
ENSMUST00000074805.11,ENSMUSG00000056888.11,Glipr1,1,1.3941,1,1.2045,1,0.8603,1,1.9518,0.8285,0.4313,0.9999,0.0020,
ENSMUST00000074807.7,ENSMUSG00000020105.9,Lrig3,1,0.7392,1,1.1999,1,0.9496,1,0.9341,0.9999,0.7076,0.9999,0.9841,
ENSMUST00000074829.3,ENSMUSG00000062545.4,Tlr12,1,1.0808,1,1.0858,1,0.9057,1,1.2958,0.9999,0.6453,0.9999,0.1164,
ENSMUST00000074840.11,ENSMUSG00000045302.13,Preb,1,0.8629,1,1.3790,1,1.0369,1,1.1477,0.9999,0.2010,0.9999,0.9398,
ENSMUST00000074856.12,ENSMUSG00000031511.16,Arhgef7,1,0.7046,1,1.4644,1,0.8686,1,1.1879,0.9999,0.2388,0.9999,0.9391,
ENSMUST00000074862.2,ENSMUSG00000061510.3,Gm10101,1,1.1340,1,0.7802,1,0.5999,1,1.4748,0.9999,0.9999,0.9999,0.9539,
ENSMUST00000074863.5,ENSMUSG00000061724.5,Gm2423,1,1.3520,1,0.7055,1,0.9903,1,0.9631,0.9999,0.8714,0.9999,0.9960,
ENSMUST00000074876.12,ENSMUSG00000058402.14,Zfp420,1,2.6267,1,1.0346,1,2.7827,1,0.9766,0.9999,0.9999,0.9999,0.9988,
ENSMUST00000074912.7,ENSMUSG00000062376.7,Borcs7,1,0.9096,1,1.1124,1,0.9684,1,1.0448,0.9999,0.8962,0.9999,0.9916,
ENSMUST00000074913.11,ENSMUSG00000016534.15,Lamp2,1,1.3713,1,1.2146,1,1.0495,1,1.5870,0.9999,0.9999,0.9999,0.9739,
ENSMUST00000074919.10,ENSMUSG00000024283.15,Wac,1,0.8890,1,0.9531,1,0.9963,1,0.8505,0.9999,0.9459,0.9999,0.8833,
ENSMUST00000074936.9,ENSMUSG00000059883.16,Irak4,1,1.0056,1,1.0318,1,0.9182,1,1.1300,0.9999,0.9646,0.9999,0.9267,
ENSMUST00000074941.7,ENSMUSG00000063281.9,Zfp35,1,0.8934,1,1.1550,1,1.1478,1,0.8990,0.9999,0.6358,0.9999,0.9407,
ENSMUST00000074945.7,ENSMUSG00000055013.16,Agap1,1,0.6648,1,0.7689,1,1.8140,1,0.2818,0.9999,0.9999,0.9999,0.7989,
ENSMUST00000074949.3,ENSMUSG00000057137.9,Tmem140,1,0.8921,1,1.1064,1,1.0834,1,0.9111,0.9999,0.7729,0.9999,0.9484,
ENSMUST00000074950.10,ENSMUSG00000045427.13,Hnrnph2,1,0.8643,1,0.9689,1,0.8914,1,0.9395,0.9999,0.9597,0.9999,0.9746,
ENSMUST00000074957.4,ENSMUSG00000032077.5,Bud13,1,1.0039,1,1.1951,1,0.9978,1,1.2023,0.9999,0.7320,0.9999,0.9160,
ENSMUST00000074963.8,ENSMUSG00000063145.10,Bbs5,1,0.6989,1,1.3038,1,4.2864,1,0.2126,0.9999,0.9999,0.3157,0.1338,
ENSMUST00000074970.7,ENSMUSG00000063445.14,Nmral1,1,0.9792,1,2.1531,1,4.6329,1,0.4551,0.9999,0.9999,0.9999,0.9426,
ENSMUST00000074976.7,ENSMUSG00000063954.7,H2ac19,1,0.4401,1,3.7615,1,0.7123,1,2.3242,0.9999,0.7711,0.9999,0.9727,
ENSMUST00000074991.9,ENSMUSG00000009035.15,Tmem184b,1,1.2583,1,1.7468,1,0.9089,1,2.4184,0.9999,0.0608,0.9999,0.0553,
ENSMUST00000075010.11,ENSMUSG00000062797.14,Hikeshi,1,1.0382,1,0.8363,1,0.9471,1,0.9168,0.9999,0.8555,0.9999,0.9874,
ENSMUST00000075012.7,ENSMUSG00000020721.16,Helz,1,1.0585,1,0.8424,1,0.7033,1,1.2680,0.9999,0.8981,0.9999,0.9592,
ENSMUST00000075036.8,ENSMUSG00000057948.12,Unc13d,1,0.9662,1,1.2284,1,1.3626,1,0.8710,0.9999,0.9999,0.9999,0.9943,
ENSMUST00000075062.4,ENSMUSG00000064109.8,Hcst,1,0.9310,1,1.0448,1,0.6574,1,1.4797,0.9999,0.9591,0.5938,0.4372,
ENSMUST00000075068.13,ENSMUSG00000063931.14,Pepd,1,1.0474,1,0.9973,1,1.1719,1,0.8913,0.9999,0.9958,0.8853,0.8033,
ENSMUST00000075072.5,ENSMUSG00000021886.7,Gpr65,1,1.3347,1,1.7067,1,0.8087,1,2.8168,0.9999,0.0002,0.9999,1.23E-06,
ENSMUST00000075077.2,ENSMUSG00000030291.12,Med21,1,0.9631,1,1.7068,1,0.6116,1,2.6875,0.9999,0.9999,0.9999,0.3751,
ENSMUST00000075092.7,ENSMUSG00000059734.7,Ndufs8,1,0.7563,1,0.9285,1,0.8342,1,0.8418,0.9999,0.9446,0.9999,0.9477,
ENSMUST00000075117.9,ENSMUSG00000034430.16,Zxdc,1,0.7187,1,1.1994,1,0.9302,1,0.9267,0.9999,0.6574,0.9999,0.9789,
ENSMUST00000075159.4,ENSMUSG00000029238.11,Clock,1,1.3752,1,1.3480,1,2.4250,1,0.7644,0.9999,0.8473,0.9100,0.9688,
ENSMUST00000075164.10,ENSMUSG00000041642.18,Kif21b,1,1.0975,1,0.7969,1,1.0328,1,0.8469,0.9999,0.4879,0.9999,0.9083,
